"錦","にしき","brocade; fine dress, fine clothes"
"対照的","たいしょうてき","contrastive"
"","オレンジ","orange (fruit, colour)"
"一遍に","いっぺんに","(all) at once, at the same time, in one go, in one sitting; right away, in an instant"
"漆黒","しっこく","jet-black, pitch-dark, raven-black, stygian"
"前髪","まえがみ","forelock, bangs"
"火災","かさい","conflagration, fire"
"激怒","げきど","rage, fury"
"縮む","ちぢむ, ちじむ","to shrink, to contract, to diminish (in size)"
"株式会社","かぶしきがいしゃ","stock company, corporation, kabushiki kaisha, KK"
"","カーブ","curve, turn, bend; curveball, curve ball"
"雑談","ざつだん","chatting, idle talk"
"腿","もも","thigh"
"身元","みもと","(one's) identity, background, upbringing, birth (and parentage); (one's) character"
"","シティ, シティー","city"
"","パニック","panic"
"生存","せいぞん","existence, being, life, survival"
"","パチパチ, ぱちぱち","crackling, cracking, snapping, popping, clicking; clapping; incessantly (blinking)"
"会議室","かいぎしつ","conference room, council room"
"鋼鉄","こうてつ","steel"
"勇む","いさむ","to be in high spirits, to be encouraged, to be lively, to cheer up"
"冷淡","れいたん","cool, indifferent, apathetic, half-hearted; cold, cold-hearted, heartless, unkind"
"煙突","えんとつ","chimney, smokestack, funnel (of a ship), stovepipe; carrying a passenger without turning on the taximeter"
"奏でる","かなでる","to play an instrument (esp. string instruments); to dance"
"不当","ふとう","unfair, unjust, wrongful, improper, unreasonable, unwarranted, unjustified, undeserved, undue"
"前もって","まえもって","in advance, beforehand, previously, ahead of time"
"信ずる","しんずる","to believe, to believe in, to place trust in, to confide in, to have faith in"
"儲かる","もうかる","to be profitable, to yield a profit"
"に際して","にさいして","on the occasion of, at the time of, when, during"
"瓦","かわら","tile (e.g. roof)"
"割り込む","わりこむ","to cut into (a line, conversation, etc.), to force oneself into (e.g. a crowd), to wedge oneself into, to squeeze oneself into, to intrude on, to interrupt; to fall below (of stock prices, sales, etc.), to drop below"
"福岡","ふくおか","Fukuoka (city, prefecture)"
"お気に入り","おきにいり","favorite, favourite, pet (e.g. teacher's pet); bookmark (in a web browser)"
"公表","こうひょう","official announcement, proclamation"
"背丈","せたけ, せいたけ","stature, height"
"終戦","しゅうせん","end of war, cessation of hostilities"
"指名","しめい","naming, nominating, designating; calling on, asking for, requesting"
"小指","こゆび","little finger, pinky; little toe"
"","ランチ","lunch; (Western-style) single-plate lunch set, plate lunch, lunch set"
"便り","たより, だより","news, tidings, information, correspondence, letter"
"花壇","かだん","flower bed"
"地形","ちけい, じぎょう","terrain, geographical features, topography"
"仕事場","しごとば","place where one works, construction site, working area"
"","このため","because of this"
"出産","しゅっさん","childbirth, (giving) birth, delivery, parturition; production (of goods)"
"御目出度う","おめでとう","congratulations!, well done!, best wishes!, all the best!"
"痛手","いたで","serious wound; hard blow"
"長女","ちょうじょ","eldest daughter, first-born daughter"
"身震い","みぶるい","shivering (with cold), trembling (with fear), shuddering"
"交差点","こうさてん","crossing, intersection"
"","コーラ","cola (carbonated soft drink); kola tree (Cola acuminata, etc.), cola tree"
"","ぎこちない, ぎごちない","awkward, clumsy, stiff, crude, unrefined, constrained"
"","キット","kit"
"差し支える","さしつかえる","to interfere (with), to hinder, to be hindered (from doing), to become impeded, to have difficulty, to suffer inconvenience"
"幼稚園","ようちえん","kindergarten (in Japan, non-compulsory education from age 3 until primary school), preschool"
"裁判官","さいばんかん","judge"
"聖地","せいち","sacred place, holy ground, the Holy Land; real-life location used as a setting in a novel, film, anime, etc."
"定か","さだか","definite, sure"
"基づく","もとづく","to be based (on), to be founded (on), to be grounded (on), to be in accordance (with); to be due to, to come (from), to arise (from), to originate (in)"
"組み立てる","くみたてる","to assemble, to put together, to set up, to construct, to build, to compose (a story, poem, etc.); to form (words, sentences, etc.)"
"区切る","くぎる","to divide, to separate, to partition, to demarcate, to delimit, to mark off; to punctuate, to mark off (with a comma), to insert pauses (between words or phrases when reading aloud), to space one's words"
"","ドーム","dome"
"到来","とうらい","arrival, coming, advent"
"破裂","はれつ","bursting, rupture, explosion; breakdown (of talks, negotiations, etc.), breaking off"
"清らか","きよらか","clean, clear; pure, honest, clean, innocent, platonic, chaste"
"初代","しょだい","first generation, founder"
"合計","ごうけい","sum total, total amount"
"","チップ","tip, gratuity; foul tip; tip (of a ballpoint pen)"
"漁る","あさる, すなどる, いさる","to fish; to look for, to search for, to hunt for, to scavenge, to scrounge, to look through, to rummage through; to go on a spree (spending, reading, etc.), to binge"
"買い手","かいて","buyer"
"八千代","やちよ","very long period, forever; eight thousand years"
"代償","だいしょう","compensation, reparation, indemnification; price (of achieving a goal), cost; paying compensation on someone's behalf; compensation; compensation, substitution"
"企み","たくらみ","plot, scheme, trick, design, intrigue, artifice, conspiracy"
"","パネル","panel"
"夕刊","ゆうかん","evening edition (of a daily newspaper), evening paper"
"同居","どうきょ","living together, coexistence"
"","がっちり, ガッチリ","solid, robust, well-built; tight, taut; shrewd, calculating, astute"
"屋台","やたい","cart (esp. a food cart), stall, stand; festival float, portable shrine dedicated to a god and shaped like a house, dancing platform; stage prop fashioned after a large building; framework (of a building), foundation; house (esp. a small and miserable one)"
"撒く","まく","to scatter, to sprinkle, to strew; to distribute (flyers, etc.), to give out, to hand out; to shake off (a pursuer, companion, etc.), to give the slip, to throw off, to lose, to get rid of"
"","ストーリー, ストーリ, ストリー","story, tale, legend; plot, storyline"
"躍り","おどり","leaping, jumping, spring, exciting"
"観音","かんのん","Avalokiteshvara (Bodhisattva), Avalokitesvara, Kannon, Kwannon, Guanyin, Buddhist deity of compassion"
"戒める","いましめる","to warn against, to caution against; to admonish, to scold, to rebuke; to prohibit, to forbid, to ban; to be cautious; to detest, to loathe; to punish"
"お菜","おかず, オカズ","small dish (usu. one of several accompanying rice), side dish; fill, fill-in (drumming); jack-off material, something to masturbate to"
"解体","かいたい","demolition, taking down, dismantling, disassembly, taking apart; dissolution (of an organization, company, etc.), breaking up; dissection (of a body), dismemberment"
"航行","こうこう","cruise, navigation, sailing"
"戸外","こがい","open air, outdoors, outside"
"対峙","たいじ","standing facing each other (e.g. mountains, buildings), standing opposite each other; confrontation, squaring off against (adversaries, armies, forces), standing off against, holding one's own with"
"値打ち","ねうち","value, worth, merit; estimation, evaluation, appraisal"
"","サッカー","soccer, (association) football"
"謝罪","しゃざい","apology"
"経由","けいゆ, けいゆう","going through, going via, going by way of"
"人相","にんそう","looks, countenance, facial features; physiognomy"
"取り除く","とりのぞく","to remove, to deinstall, to take away, to set apart"
"","ステッキ","(walking) stick, cane, wand"
"知事","ちじ","prefectural governor"
"寝息","ねいき","breathing of a sleeping person"
"農業","のうぎょう","agriculture, farming"
"焦げる","こげる","to burn, to scorch, to char, to singe"
"不意","ふい","sudden, abrupt, unexpected, unforeseen"
"独","どく","Germany"
"卑劣","ひれつ","mean, contemptible, despicable, dirty, foul, cowardly, base"
"致命的","ちめいてき","fatal, lethal"
"鎌","かま","sickle; leading question, trick question; sickle-and-chain (weapon); spear with curved cross-blades; gooseneck tenon and mortise joint; noisiness; part of a fish around the gills"
"射殺","しゃさつ","shooting to death"
"消耗","しょうもう, しょうこう","exhaustion, consumption, using up, dissipation, waste"
"希臘","ギリシャ, ギリシア, ギリシヤ","Greece"
"軍医","ぐんい","military physician or surgeon"
"前途","ぜんと","future, prospects, outlook; journey ahead, distance yet to cover"
"","スパーク","spark"
"","クロス, クロース","cloth; tablecloth; wallpaper, wall fabric"
"徹夜","てつや","staying up all night"
