"責任","せきにん","duty, responsibility (incl. supervision of staff); liability, onus"
"苦労","くろう","trouble, hardship, difficulty, labour, labor, toil, pains; anxiety, worry, concern, cares"
"一歩","いっぽ","(a) step, one step; level, stage, step; small degree, small amount"
"品","しな","article, item, thing, goods, stock; quality; flirtatiousness, coquetry"
"殴る","なぐる","to strike, to hit, to beat, to punch"
"勤める","つとめる","to work (for), to be employed (at), to serve (in); to serve (as), to act (as), to fill (the position of), to play the role (of); to conduct a religious service"
"女中","じょちゅう","maidservant, housemaid, maid; hostess (in a ryokan), waitress (in a traditional restaurant); court lady; lady"
"悟る","さとる","to perceive, to sense, to become aware, to notice, to detect, to discern; to understand, to comprehend, to realize; to attain enlightenment"
"回","かい","counter for occurrences; a time, an instance; inning (baseball), round, game; episode, chapter, instalment; Hui (people); Islam"
"伝わる","つたわる","to spread (of a rumour, news, etc.), to travel, to circulate, to go around, to be passed around, to become known; to be handed down (from generation to generation), to be passed down; to be introduced (to a country, region, etc.), to be brought, to come; to be conveyed (of a feeling, impression, etc.), to be felt, to come across; to travel (of sound, electricity, etc.), to propagate, to be conducted, to be transmitted; to go along, to move along"
"私用","しよう","personal use, private use; private business, personal business"
"内部","ないぶ","interior, inside, internal"
"感謝","かんしゃ","thanks, gratitude, appreciation, thankfulness"
"話しかける","はなしかける","to address (someone), to accost a person, to talk (to someone); to begin to talk, to start a conversation"
"意志","いし","will, volition, intention, intent, determination"
"彼方此方","あちこち, あちらこちら, あっちこっち, アチコチ","here and there, various places, all around, all over, everywhere, throughout; muddled, confused, in the wrong order, back to front"
"不可能","ふかのう","impossible"
"出来事","できごと","occurrence, happening, incident, event"
"到着","とうちゃく","arrival"
"台所","だいどころ, だいどこ","kitchen; financial situation, finances"
"親しい","したしい","close (e.g. friend), familiar, friendly, intimate; familiar (e.g. story), well-known (to one); close (relatives), closely related"
"普段","ふだん","usual, normal, everyday, habitual, ordinary; usually, normally, generally, habitually, always"
"総意","そうい","consensus, collective will, collective opinion"
"予想","よそう","expectation, anticipation, prediction, forecast, conjecture"
"教会","きょうかい","church, congregation"
"傷つく","きずつく","to be wounded, to get injured; to get hurt feelings; to get damaged, to get chipped, to get scratched"
"誠に","まことに, しんに","indeed, really, absolutely, truly, actually, very, quite"
"止まる","とまる","to stop (moving), to come to a stop; to stop (doing, working, being supplied), to come to a halt, to cease, to be stopped, to be suspended; to alight, to perch on"
"撫でる","なでる","to stroke, to caress, to brush gently, to pat, to rub; to comb (hair), to smooth down"
"要求","ようきゅう","demand, firm request, requisition, requirement, desire"
"顔色","かおいろ, がんしょく","complexion, one's colour, one's color; countenance, expression, one's face"
"恥ずかしい","はずかしい","embarrassing, embarrassed, ashamed, humiliated, shy; disgraceful, shameful"
"","バス","bus"
"印象","いんしょう","impression"
"有難い","ありがたい","grateful, thankful, welcome, appreciated, evoking gratitude"
"大抵","たいてい","mostly, ordinarily, usually, generally; probably; most, almost all; ordinary; proper, appropriate, moderate"
"年齢","ねんれい","age, years"
"教室","きょうしつ","classroom, lecture room; department (in a university); class, lessons, course; school (for a particular discipline), teaching establishment"
"","グラス","glass (drinking vessel); glass (material); glasses (eyewear)"
"予定","よてい","plans, arrangement, schedule, program, programme, expectation, estimate"
"悪魔","あくま","devil, demon, fiend; Satan, the Devil; Māra, evil spirits or forces that hinder one's path to enlightenment"
"如何に","いかに","how, in what way; how (much), to what extent; however (much), no matter how; hey, oi"
"寄せる","よせる","to come near, to let someone approach; to bring near, to bring together, to collect, to gather; to deliver (opinion, news, etc.), to send (e.g. a letter), to contribute, to donate; to let someone drop by; to add (numbers); to have feelings for (love, goodwill, trust, etc.); to rely upon for a time, to depend on; to use as a pretext; to put aside; to press, to push, to force; to include, to welcome (in a group), to let in"
"核兵器","かくへいき","nuclear weapon"
"関税","かんぜい","customs (duties), duty, tariff"
"声明","せいめい","declaration, statement, proclamation"
"民主党","みんしゅとう","Democratic Party; Democratic Party of Japan (1998-2016), DPJ; Constitutional Democratic Party of Japan"
"名簿","めいぼ","register of names, list of names, roll, register, roster"
"競馬","けいば","horse racing"
"下","もと","under (guidance, supervision, rules, the law, etc.); under (a flag, the sun, etc.), beneath; with (e.g. one blow), on (the promise, condition, assumption, etc. that ...), in (e.g. the name of ...); (someone's) side, (someone's) location"
"苦しみ","くるしみ","pain, anguish, distress, suffering, hardship"
"擁護","ようご","protection, defence, support, safeguarding, championship, vindication"
"続き","つづき","continuation, rest (of the story, work, etc.), next installment, sequel; flow (e.g. of a piece of writing), pacing (of a story); succession (of), sequence, series, spell, stretch, streak, run"
"頼み","たのみ","request, favor, favour; reliance, dependence, trust, hope"
"豚","ぶた, ブタ","pig (Sus scrofa domesticus); pork; fatso, fatty"
"航空便","こうくうびん","airmail, air mail; air service, air transport (of goods)"
"決まり","きまり","rule, regulation; settlement, conclusion, end, agreement, arrangement; habit, custom, habitual way; countenance in front of another person, face; love relationship between a customer and a prostitute"
"包み","つつみ","bundle, package, parcel; counter for wrapped objects"
"雨降り","あめふり","rainfall, rainy weather, rain; rainy, wet"
"ご遠慮ください","ごえんりょください","please refrain (from)"
"運転免許","うんてんめんきょ","driver's license, driver's licence, driving licence"
"掻く","かく","to scratch; to perspire; to shovel, to paddle"
"日本経済","にほんけいざい","Japanese economy"
"","チェックアウト","checking out (of a hotel), check-out"
"ＴＶゲーム","テレビゲーム, テレビ・ゲーム","video game (played on a home console)"
"","なり","or something, for instance ... (though there are other suitable options); ... or ...; as soon as, right after; while still, with previous state still in effect"
"伯爵","はくしゃく","count, earl"
"穏やか","おだやか","calm, quiet, gentle, peaceful, mild; moderate, reasonable, amicable"
"民","たみ","people, citizens, subjects, folk"
"５月","ごがつ","May; fifth month of the lunar calendar"
"舞台","ぶたい","stage (of a theatre, concert hall, etc.), (stage) performance; setting (of a story), scene; sphere (of activity), stage (e.g. political stage), scene, arena, world"
"多少","たしょう","a little, some, somewhat, slightly, to some degree, to some extent; amount, quantity, number"
"杉","すぎ, スギ","Japanese cedar (Cryptomeria japonica)"
"貴族","きぞく","nobility, aristocracy, peerage"
"","となると","when it comes to ..., where ... is concerned; if it's the case that ..., if it turns out that ..., if it's true that ..., in that case"
"悲しむ","かなしむ","to be sad, to mourn for, to regret"
"安い","やすい","cheap, inexpensive; calm, peaceful, quiet"
"派","は","group, faction, clique, coterie; (political) faction, wing, camp; school (of thought, painting, etc.); sect, denomination"
"可能","かのう","possible, potential, practicable, feasible"
"帽子","ぼうし","hat, cap"
"目の前","めのまえ","before one's eyes, in front of one, under one's nose; immediate, imminent, around the corner"
"嫌う","きらう","to hate, to dislike, to loathe"
"記録","きろく","record, document, minutes, recording, putting on record, keeping a record (of), writing down; record (e.g. in sports), setting (a record), recording (a record high, etc.)"
"駄目","だめ, ダメ, だーめ","no good, not serving its purpose, useless, broken; hopeless, wasted, in vain, purposeless; cannot, must not, not allowed; neutral point, intersection owned by neither player at the end of a game; no!, stop!"
"気に入る","きにいる","to like, to be pleased with, to be delighted with, to take a liking to, to suit one's fancy"
"慣れる","なれる","to get used to, to grow accustomed to, to become familiar with; to become skilled in, to become experienced at; to become tame, to become domesticated; to get used to doing"
"間もなく","まもなく","soon, shortly, before long, in a short time, in a little while; having no time to ..., with no time to ..."
"崩れる","くずれる","to collapse, to crumble; to get out of shape, to lose one's shape, to become disorganized, to become untidy; to break down, to be thrown into disarray; to crash (stock market), to slump, to decline; to break money into small change; to turn bad (e.g. weather), to change for the worse, to deteriorate"
"捲る","まくる","to turn up, to roll up (e.g. sleeves); to do over and over again, to do relentlessly, to do with reckless abandon, to do continuously; to stage a comeback (against) (in mahjong, horse racing, etc.), to come from behind"
"どの様","どのよう","what sort, what kind"
"英吉利","イギリス","United Kingdom, UK, Britain, Great Britain; England"
"頁","ページ","page; nth page, page ..."
"蛇","へび, じゃ, くちなわ, へみ, ヘビ","snake; serpent, large snake"
"下す","くだす","to make a decision, to draw a conclusion; to give a judgement, to hand down a verdict, to pass a sentence, to give an order; to let go down, to lower; to do oneself, to do by oneself; to beat, to defeat; to have loose bowels, to have diarrhea; to pass (in stool), to discharge from the body; to do in one go, to do to the end without stopping"
"商売","しょうばい","trade, business, commerce; occupation, calling, profession, job"
"今や","いまや","now (esp. in contrast to the past), now at last, at present, right now"
"余裕","よゆう","surplus, margin, leeway, room, space, time, allowance, flexibility, scope; composure, placidity, complacency, calm"
"３月","さんがつ","March; third month of the lunar calendar"
"条件","じょうけん","condition, term, requirement, qualification, prerequisite"
"映る","うつる","to be reflected, to harmonize with (harmonise), to come out (photo), to be projected, to be displayed (on a screen)"
"余りに","あまりに, あんまりに","too (much), overly, excessively"
"独逸","ドイツ","Germany"
"銀行","ぎんこう","bank, banking institution"
"にも関わらず","にもかかわらず","in spite of, despite, although; nonetheless, nevertheless, but, (and) yet"
"余計","よけい","extra, more, too much, too many, excessive, superfluous, spare, surplus; unnecessary, needless, uncalled-for, unwanted, uninvited; all the more, even more"
"届ける","とどける","to deliver, to forward, to send; to report, to notify, to file notice (to the authorities), to give notice, to register"
"政府","せいふ","government, administration, ministry"
"手前","てまえ","before oneself, in front of one, nearby; a bit before reaching (a location), this side (of a location); one's standpoint, one's appearance, face, honour; skill, dexterity, artistry, ingenuity; tea-ceremony procedures; I, me; you"
"存じる","ぞんじる","to know, to be aware (of), to be acquainted (with); to think, to consider, to believe, to feel"
"泥","どろ","mud, (wet) dirt; thief; Android (mobile operating system)"
"","ルー, ルウ","roux; (Japanese) curry sauce"
