"県下","けんか","in the prefecture, prefectural"
"口ごもる","くちごもる","to hesitate to say, to mumble, to hem and haw, to falter"
"細かく","こまかく","minutely, finely"
"付いてくる","ついてくる","to follow, to come along with one, to accompany"
"対話","たいわ","dialogue, conversation, talk, discussion, communication"
"絶句","ぜっく, ぜく","being lost for words, becoming speechless; jueju (Chinese quatrain with lines of either five or seven syllables)"
"１０００円","せんえん","1000 yen"
"症状","しょうじょう","symptoms, condition (of a patient)"
"惚ける","とぼける","to play dumb, to feign ignorance, to play innocent, to have a blank facial expression; to play the fool; to be in one's dotage"
"神経質","しんけいしつ","nervous, highly strung, sensitive; fussy, worried about petty things"
"陰謀","いんぼう","plot, intrigue, scheme; conspiracy, agreement between two or more people to commit an unlawful act"
"進歩","しんぽ","progress, advance, improvement, development"
"楽器","がっき","musical instrument"
"追及","ついきゅう","investigation (e.g. into someone's guilt), questioning, pressing, hounding, pinning down; catching up, overtaking"
"戦力","せんりょく","war potential, military strength, fighting power; ability (to compete), capabilities, valuable asset"
"足取り","あしどり","gait, walk, stride, pace, step, manner of walking; trace (e.g. of route taken by hunted criminal), track, trail, movements"
"帰途","きと","on the way back, returning"
"どれ位","どれくらい, どれぐらい","how long, how far, how much"
"鉛筆","えんぴつ, エンピツ","pencil"
"風情","ふぜい, ふうじょう","taste, elegance, charm; appearance, air; the likes of ..., lowly people such as ..."
"","プログラム","program (of events, music, etc.), programme; program (booklet), brochure, pamphlet; (computer) program, programming"
"追跡","ついせき","chase, pursuit, tracking, stalking; following up, tracing"
"仮令","たとえ, たとい","even if, no matter (what), if, though, although, supposing, supposing that, -ever"
"看守","かんしゅ","prison guard, warder, jailer, gaoler"
"不可解","ふかかい","incomprehensible, mysterious, inexplicable, inscrutable, enigmatic, baffling"
"踵","かかと, きびす, くびす, あくと","heel (of foot, shoe, stocking, etc.)"
"頬","ほお, ほほ","cheek (of the face)"
"","レス","reply, response"
"仲良く","なかよく","on good terms (with), on friendly terms (with), (getting along) well, in harmony, happily, peacefully"
"","ゴール","goal (in soccer, hockey, etc.), basket (in basketball); finish line, finishing line, winning post; reaching the finish line, finishing (a race); goal, objective"
"救急車","きゅうきゅうしゃ","ambulance"
"","パトカー","patrol car, police car, squad car, cruiser"
"心細い","こころぼそい","helpless, forlorn, hopeless, unpromising, lonely, discouraging, disheartening"
"勘弁","かんべん","pardon, forgiveness, forbearance"
"血液","けつえき","blood"
"赤ちゃん","あかちゃん","baby, infant"
"注ぐ","そそぐ","to pour (into); to sprinkle on (from above), to water (e.g. plants), to pour onto, to spray; to shed (tears); to concentrate one's energy (strength, attention, etc.) on, to devote to, to fix (one's eyes) on; to flow into (e.g. of a river), to run into, to drain into; to fall (of rain, snow), to pour down"
"越し","ごし","across, over, beyond, through, crossing; throughout (a period of time), for"
"打撃","だげき","blow, shock, strike, damage; batting"
"承諾","しょうだく","consent, approval, acceptance, agreement, compliance"
"脅迫","きょうはく","threat, menace, coercion, blackmail"
"転じる","てんじる","to turn, to shift, to switch, to change, to alter"
"線路","せんろ","railway track, railway line, railroad, railway, track, line"
"聖書","せいしょ","Bible, the Scriptures, Holy Writ"
"溝","どぶ, ドブ","ditch, drain, gutter, trench; gap (between cutting guides)"
"","ピン","pin (e.g. hairpin, safety pin); (bowling) pin; pin, flagstick"
"手続き","てつづき","procedure, process, proceedings, formalities"
"","ちゃう, じゃう","to do completely; to do accidentally, to do without meaning to, to happen to do"
"突破","とっぱ","breaking through, breakthrough, penetration; surmounting (a difficulty), overcoming, getting over, accomplishing (an aim), reaching (a goal); exceeding, passing, rising above"
"勇敢","ゆうかん","brave, courageous, gallant, valiant, heroic"
"","スタート","start, beginning; starting (e.g. a race), departing, starting point, starting line"
"信念","しんねん","belief, faith, conviction"
"問屋","とんや, といや","wholesale store, wholesale dealer, wholesaler"
"尋常","じんじょう","common, usual"
"太刀","たち","long sword (as opposed to the shorter katana); tachi, sabre-like sword worn on the hip with the blade facing down"
"威力","いりょく","power, might, authority, influence"
"坂道","さかみち","hill road"
"相違","そうい","difference, discrepancy, variation"
"笠","かさ","conical hat (East-Asian style), coolie hat; something shaped like a conical hat or an umbrella, shade (of a lamp), mushroom cap, pileus"
"文字通り","もじどおり","literally, to the letter; literal"
"大衆","たいしゅう","general public, the masses"
"","フォード","ford; Ford (car)"
"元来","がんらい","originally, essentially, naturally, by nature, really, actually; in the first place, to begin with"
"南方","なんぽう","the south, southward, southern direction; countries in the south (esp. Southeast Asia and the pre-WWII South Pacific Mandate)"
"寺院","じいん","Buddhist temple; religious building, church, cathedral, mosque"
"左様なら","さようなら, サヨウナラ, さよーなら, サヨーナラ","farewell, adieu, goodbye, so long"
"","ポーズ","pose; pose, posturing, pretence, (an) act"
"","リーダー, リーダ","leader; leaders, dotted line, ellipsis"
"無人","むじん, ぶにん, むにん","unmanned, uninhabited, unattended, deserted; shorthandedness, lack of help"
"実る","みのる","to bear fruit, to ripen; to produce (good) results, to show results, to bear fruit"
"生き生き","いきいき","in a lively way, vividly, freshly, animatedly, actively, energetically"
"向き","むき","direction, orientation, aspect, exposure; suited to, suitable for, designed for; tendency, inclination; nature (of a request or desire); person"
"","タイトル","title"
"青山","せいざん, あおやま","lush mountain, green mountain; grave, burial place"
"亀","かめ, カメ","tortoise, turtle; heavy drinker; turtle crest, turtle mon"
"悲惨","ひさん","disastrous, tragic, miserable, wretched, pitiful, woeful, outrageous"
"配慮","はいりょ","consideration, concern, attention, thoughtfulness, making arrangements, care, trouble"
"最期","さいご","one's last moment, one's death, one's end"
"至る所","いたるところ","everywhere, all over, throughout"
"","のろのろ","slowly, sluggishly"
